Name of Clinic,Address,Email,Phone,Services
My FootDr Mt Gravatt,"Level 2 / 1437 Logan Road (enter off Gowrie St), Mount Gravatt QLD 4122",mtgravatt@myfootdr.com.au,07 3849 4714,"Supramalleolar Orthotics (SMOs), Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Ankle-Foot Orthoses"
My FootDr North Lakes,"North Lakes Specialist Medical Centre, Unit 204, 6 North Lakes Drive, North Lakes QLD 4509",northlakes@myfootdr.com.au,07 3815 6490,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Red Hill Paediatric,"Arthur House, 47 Arthur Tce, Red Hill QLD 4059",redhill@myfootdr.com.au,(07) 3367 0085,"Custom Foot Orthoses, Surestep Products, 3D Printed Ankle-Foot Orthoses, Custom Made Medical Grade Footwear"
My FootDr Redcliffe,"Dolphins Central Shopping Centre, 10/110 Ashmole Rd, Redcliffe QLD 4020",redcliffe@myfootdr.com.au,07 3385 8100,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts"
My FootDr Shailer Park,"6/44 Bryants Road, Shailer Park QLD 4128",shailerpark@myfootdr.com.au,07 3441 2100,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Footwear, Cryotherapy For Plantar Warts"
My FootDr Stafford,"Shop 93A Stafford City Shopping Centre, 400 Stafford Rd, Stafford QLD 4053",stafford@myfootdr.com.au,07 3513 4000,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts"
My FootDr Toowoomba,"Shop 52, Clifford Gardens Shopping Centre, Corner James St & Anzac Ave, Toowoomba City QLD 4350",toowoomba@myfootdr.com.au,07 4633 2533,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Footwear"
My FootDr Wellington Point,"8/405-409 Main Rd, Wellington Point QLD 4160",wellingtonpoint@myfootdr.com.au,07 3207 2100,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Advanced Foot Care Bargara,"8/699 Bargara Road, Bargara QLD 4670",bargara@advancedfootcare.com.au,07 4153 3255,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS"
Advanced Foot Care Bundaberg,"10/36 Quay St, Bundaberg Central QLD 4670",bundaberg@advancedfootcare.com.au,07 4153 3255,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Footwear"
Advanced Foot Care Hervey Bay,"1/6 Torquay Rd, Pialba QLD 4655",herveybay@advancedfootcare.com.au,07 4128 2300,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Footwear"
Advanced Foot Care Monto,"35 Flinders Street, Monto QLD 4630",monto@advancedfootcare.com.au,07 4128 2300,"Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare"
My FootDr Gladstone,"1/146 Auckland St, Gladstone Central QLD 4680",gladstone@myfootdr.com.au,07 4972 9663,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Cryotherapy For Plantar Warts"
My FootDr Mackay,"153 Victoria St, Mackay QLD 4740",mackay@myfootdr.com.au,07 4951 0111,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts"
My FootDr Rockhampton,"8/235-239 Musgrave St, North Rockhampton QLD 4701",rockhampton@myfootdr.com.au,07 4921 3532,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Cryotherapy For Plantar Warts"
My FootDr Yeppoon,"61 Queen St, Yeppoon QLD 4703",yeppoon@myfootdr.com.au,07 4939 8577,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Cryotherapy For Plantar Warts"
Allsports Podiatry Pimpama,"2 Nexus Drive, Tenancy D1.4, Pimpama QLD 4209",pimpama@allsportspodiatry.com.au,(07) 3879 7718,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Back In Motion Podiatry Bundall,"1 Allawah St (cnr Bundall Rd), Bundall, Gold Coast QLD 4217",bundall@backinmotion.com.au,07 5592 4141,"Surgical Podiatry, Supramalleolar Orthotics (SMOs), Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare, Custom Footwear, NDIS, Seniors Footcare, Shockwave Therapy, Ankle-Foot Orthoses"
Back In Motion Podiatry Burleigh Waters,"Shop E, 1/6-8 Classic Way, Burleigh Waters QLD 4220",burleighwaters@backinmotion.com.au,07 5613 3115,"Surgical Podiatry, Supramalleolar Orthotics (SMOs), Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare, Custom Footwear, NDIS, Seniors Footcare, Shockwave Therapy, Ankle-Foot Orthoses"
My FootDr Hope Island,"Shop 5, 10 Santa Barbara Road, Hope Island QLD 4212",hopeisland@myfootdr.com.au,07 5656 2400,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Cryotherapy For Plantar Warts"
Physiologic Podiatry Robina,"334 Scottsdale Drive, Robina QLD 4226",robina@physiologic.com.au,07 5578 7155,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Varsity Lakes,"Shop 1, 190 Varsity Parade, Varsity Lakes QLD 4227",varsitylakes@myfootdr.com.au,07 5562 5055,"Surgical Podiatry, Clinical Podiatry, Custom Foot Orthotics, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Seniors Footcare, Shockwave Therapy"
My FootDr Bathurst,"41 Keppel St, Bathurst NSW 2795",bathurst@myfootdr.com.au,02 6331 1122,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Blacktown,"Suite 113/30 Campbell Street, Blacktown NSW 2148",blacktown@myfootdr.com.au,02 9622 5707,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Burwood,"6 Railway Parade, Burwood NSW 2134",burwood@myfootdr.com.au,02 9744 6566,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Footwear"
My FootDr Casula,"6 Holston Street, Casula NSW 2170",casula@myfootdr.com.au,02 9822 2622,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy"
My FootDr Cessnock,"298 Maitland Rd, Cessnock NSW 2325",cessnock@myfootdr.com.au,02 4990 4540,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS"
My FootDr Charlestown,"190 Pacific Highway, Charlestown NSW 2290",charlestown@myfootdr.com.au,02 4966 0799,"Bracenfix Ingrown Toenail Treatment, Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Shockwave Therapy, Footwear"
My FootDr Dubbo,"Shop 18, Orana Mall Shopping Centre, 56 Windsor Parade, Dubbo NSW 2830",dubbo@myfootdr.com.au,02 6867 9410,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Footwear"
My FootDr Mittagong,"48 Bowral Road, Mittagong NSW 2575",mittagong@myfootdr.com.au,02 4872 4168,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Cryotherapy For Plantar Warts"
My FootDr Moorebank,"2 Stockton Avenue, Moorebank NSW 2170",moorebank@myfootdr.com.au,02 9822 2780,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy"
My FootDr Narellan,"Suite 407, 326 Camden Valley Way, Narellan NSW 2567",narellan@myfootdr.com.au,02 4647 0703,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy"
My FootDr Orange,"Shop V5-7, Orange City Centre, 190 Anson St, Orange NSW 2800",orange@myfootdr.com.au,02 5301 6549,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Footwear, Cryotherapy For Plantar Warts"
My FootDr Tweed Heads,"1/107 Minjungbal Drive, Tweed Heads South NSW 2485",tweedheads@myfootdr.com.au,07 5524 8440,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Ankle-Foot Orthoses"
My FootDr Cairns,"Shop 2, 494 Mulgrave Road, Earlville QLD 4870",cairns@myfootdr.com.au,07 4033 2218,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment"
NQ Foot & Ankle Centre Cowboys,"North Queensland Cowboys Centre of Excellence, 26 Graham Murray Place, Railway Estate QLD 4810",cowboys@nqfootankle.com.au,07 4723 5500,"Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Shockwave Therapy"
NQ Foot & Ankle Centre Kirwan,"NQ Foot & Ankle Centre, 93 Thuringowa Drive, Kirwan QLD 4817",kirwan@nqfootankle.com.au,07 4723 5500,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy"
My FootDr Thuringowa,"Shop 129, Willows Shopping Centre, Cnr Thuringowa Dr & Hervey Range Rd, Thuringowa Central QLD 4817",thuringowa@myfootdr.com.au,07 4723 1503,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Cryotherapy For Plantar Warts"
My FootDr Townsville,"140 Ross River Road, Mundingburra QLD 4812",townsville@myfootdr.com.au,07 4725 3755,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts"
My FootDr Palmerston,"Shop 15, Oasis Shopping Village, 15 Temple Tce, Palmerston NT 0830",palmerston@myfootdr.com.au,08 8932 2233,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Footwear, Cryotherapy For Plantar Warts"
Back In Motion Podiatry Mudgeeraba,"Unit 1, 63 Railway Street, Mudgeeraba QLD 4213",mudgeeraba@backinmotion.com.au,07 5619 2180,Clinical Podiatry
Foundation Podiatry Townsville,"140 Ross River Road, Mundingburra QLD 4812",foundationpodiatry@myfootdr.com.au,07 4775 1760,"Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare"
My FootDr Aldinga,"Aldinga Medical Centre, 89 Rowley Road, Aldinga Beach SA 5173",aldinga@myfootdr.com.au,08 7286 3003,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy"
My FootDr Blackwood,"236 Main Road, Blackwood SA 5051",blackwood@myfootdr.com.au,08 8278 9777,"Supramalleolar Orthotics (SMOs), Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Footwear, Ankle-Foot Orthoses"
My FootDr Christies Beach,"Shop 33, Colonnades Shopping Centre, Beach Road, Noarlunga Centre SA 5168",christiesbeach@myfootdr.com.au,08 8326 2800,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Footwear"
My FootDr Glenelg,"3/9 Jetty Road, Glenelg SA 5045",glenelg@myfootdr.com.au,08 8295 1228,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Henley Beach,"230 Military Road, Henley Beach SA 5022",henleybeach@myfootdr.com.au,08 8353 6400,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Morphett Vale,"Shop 1, 199 Main South Road, Morphett Vale SA 5162",morphettvale@myfootdr.com.au,08 8384 4288,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Prospect,"166 Prospect Road, Prospect SA 5082",prospect@myfootdr.com.au,08 8344 4155,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Tea Tree Gully,"Shop 31, Tea Tree Plaza, 976 North East Road, Modbury SA 5092",teatreegully@myfootdr.com.au,08 8396 7500,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr West Lakes,"Shop 23, West Lakes Mall, 111 West Lakes Boulevard, West Lakes SA 5021",westlakes@myfootdr.com.au,08 8449 2255,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Buderim,"Buderim Marketplace, Shop 58, 150 Burnett St, Buderim QLD 4556",buderim@allsportspodiatry.com.au,07 5445 1464,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Caloundra,"24 Maltman Street North, Caloundra QLD 4551",caloundra@allsportspodiatry.com.au,07 5438 8600,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Kawana,"Shop 28, Kawana Shoppingworld, Nicklin Way, Buddina QLD 4575",kawana@allsportspodiatry.com.au,07 5493 8700,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Maroochydore,"Maroochydore Homemaker Centre, Shop 13, 20 Dalton Drive, Maroochydore QLD 4558",maroochydore@allsportspodiatry.com.au,07 5443 3363,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Nambour,"2/1 Price Street, Nambour QLD 4560",nambour@allsportspodiatry.com.au,07 5441 3446,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Noosa,"1/64 Poinciana Avenue, Tewantin QLD 4565",noosa@allsportspodiatry.com.au,07 5449 0800,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Caloundra,"Suite 2, Caloundra Chambers, 60 Bulcock Street, Caloundra QLD 4551",caloundra@myfootdr.com.au,07 5499 7000,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Coolum Beach,"5/1843 David Low Way, Coolum Beach QLD 4573",coolumbeach@myfootdr.com.au,07 5446 5577,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Maleny,"28 Maple Street, Maleny QLD 4552",maleny@myfootdr.com.au,07 5494 2422,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Mooloolaba,"5/22 Kyamba Court, Mooloolaba QLD 4557",mooloolaba@myfootdr.com.au,07 5444 0880,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Nambour,"Nambour Mill Shopping Village, Shop 3, 18 Mill Street, Nambour QLD 4560",nambour@myfootdr.com.au,07 5441 2066,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Noosa,"5A/26 Sunshine Beach Road, Noosa Heads QLD 4567",noosa@myfootdr.com.au,07 5473 9787,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Sippy Downs,"Chancellor Park Marketplace, Shop 4, 1 University Way, Sippy Downs QLD 4556",sippydowns@myfootdr.com.au,07 5476 9999,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Hobart,"Level 1, 26 Davey Street, Hobart TAS 7000",hobart@myfootdr.com.au,03 6234 5543,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Launceston,"63 Cameron Street, Launceston TAS 7250",launceston@myfootdr.com.au,03 6331 1444,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Ballarat,"201 Main Road, Ballarat East VIC 3350",ballarat@myfootdr.com.au,03 5332 8222,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy"
My FootDr Bendigo,"Shop 1A, 60 Mitchell Street, Bendigo VIC 3550",bendigo@myfootdr.com.au,03 5443 2222,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Berwick,"67 High Street, Berwick VIC 3806",berwick@myfootdr.com.au,03 9796 1700,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
