Name of Clinic,Address,Email,Phone,Services
Allsports Podiatry Toowong,"Ground Floor, 80 Jephson Street, Toowong QLD 4066",toowong@allsportspodiatry.com.au,07 3871 1799,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
Allsports Podiatry Wavell Heights,"1A/159 Hamilton Road, Wavell Heights QLD 4012",wavellheights@allsportspodiatry.com.au,07 3256 9676,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
Anytime Physio & Podiatry Newstead,"Shop B6 / 76 Skyring Terrace, Gasworks Plaza, Newstead QLD 4006",newstead@anytimephysio.com.au,07 3733 0944,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
My FootDr Brisbane CBD,"Ground Level, 324 Queen Street, Brisbane QLD 4000",brisbanecbd@myfootdr.com.au,07 3634 5800,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Cosmetic Nail Restoration, Cryotherapy For Plantar Warts"
My FootDr Brookside,"Brookside Shopping Centre, Shop 118, 159 Osborne Rd, Mitchelton QLD 4053",brookside@myfootdr.com.au,07 3355 1256,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Brookwater,"17 / L1 Brookwater Retail Village, 2 Tournament Drive, Brookwater QLD 4300",brookwater@myfootdr.com.au,07 3432 8500,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Camp Hill,"50 Wyena Street (Cnr Clara & Wyena St), Camp Hill QLD 4152",camphill@myfootdr.com.au,07 3035 3900,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Cosmetic Nail Restoration, SWIFT Microwave Wart Therapy, Cryotherapy For Plantar Warts, Ankle-Foot Orthoses, Supramalleolar Orthotics (SMOs), Cobra9 Cycling Orthotics, Custom Cricket Shoes"
My FootDr Cleveland,"Suite 5 & 6, Trinity Chambers, Cnr Waterloo & Middle Streets, Cleveland QLD 4163",cleveland@myfootdr.com.au,07 3479 9200,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Cryotherapy For Plantar Warts"
My FootDr Fortitude Valley,"2/455A Brunswick Street, Fortitude Valley QLD 4006",fortitudevalley@myfootdr.com.au,07 3640 6100,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Gumdale,"Eastside Village Shopping Centre, Shop 20, Cnr New Cleveland & Tilley Roads, Gumdale QLD 4154",gumdale@myfootdr.com.au,07 3917 2700,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Indooroopilly,"56B Coonan Street, Indooroopilly QLD 4068",indooroopilly@myfootdr.com.au,07 3720 6200,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Ipswich,"Physioactive, 57 Thorn Street, Ipswich QLD 4305",ipswich@myfootdr.com.au,07 3281 8876,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Jindalee,"Allsports Physiotherapy, Shop 28, 34 Goggs Road, Jindalee QLD 4074",jindalee@myfootdr.com.au,07 3279 3752,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Mt Gravatt,"Level 2 / 1437 Logan Road (enter off Gowrie St), Mount Gravatt QLD 4122",mtgravatt@myfootdr.com.au,07 3849 4714,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr North Lakes,"North Lakes Specialist Medical Centre, Unit 204, 6 North Lakes Drive, North Lakes QLD 4509",northlakes@myfootdr.com.au,07 3815 6490,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Red Hill,"Arthur House, 47 Arthur Tce, Red Hill QLD 4059",redhill@myfootdr.com.au,(07) 3367 0085,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Redcliffe,"Dolphins Central Shopping Centre, 10/110 Ashmole Rd, Redcliffe QLD 4020",redcliffe@myfootdr.com.au,07 3385 8100,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Shailer Park,"6/44 Bryants Road, Shailer Park QLD 4128",shailerpark@myfootdr.com.au,07 3441 2100,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Cryotherapy For Plantar Warts"
My FootDr Stafford,"Shop 93A Stafford City Shopping Centre, 400 Stafford Rd, Stafford QLD 4053",stafford@myfootdr.com.au,07 3513 4000,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Toowoomba,"Shop 52, Clifford Gardens Shopping Centre, Corner James St & Anzac Ave, Toowoomba City QLD 4350",toowoomba@myfootdr.com.au,07 4633 2533,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Wellington Point,"8/405-409 Main Rd, Wellington Point QLD 4160",wellingtonpoint@myfootdr.com.au,07 3207 2100,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Advanced Foot Care Bargara,"8/699 Bargara Road, Bargara QLD 4670",bargara@advancedfootcare.com.au,07 4153 3255,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare"
Advanced Foot Care Bundaberg,"10/36 Quay St, Bundaberg Central QLD 4670",bundaberg@advancedfootcare.com.au,07 4153 3255,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare"
Advanced Foot Care Hervey Bay,"1/6 Torquay Rd, Pialba QLD 4655",herveybay@advancedfootcare.com.au,07 4128 2300,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare"
Advanced Foot Care Monto,"35 Flinders Street, Monto QLD 4630",monto@advancedfootcare.com.au,07 4128 2300,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare"
My FootDr Gladstone,"1/146 Auckland St, Gladstone Central QLD 4680",gladstone@myfootdr.com.au,07 4972 9663,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Mackay,"153 Victoria St, Mackay QLD 4740",mackay@myfootdr.com.au,07 4951 0111,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts"
My FootDr Rockhampton,"8/235-239 Musgrave St, North Rockhampton QLD 4701",rockhampton@myfootdr.com.au,07 4921 3532,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Cryotherapy For Plantar Warts"
My FootDr Yeppoon,"61 Queen St, Yeppoon QLD 4703",yeppoon@myfootdr.com.au,07 4939 8577,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Pimpama,"2 Nexus Drive, Tenancy D1.4, Pimpama QLD 4209",pimpama@allsportspodiatry.com.au,(07) 3879 7718,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Seniors Footcare, Sports Podiatry, Paediatric Assessments"
Back In Motion Podiatry Bundall,"1 Allawah St (cnr Bundall Rd), Bundall, Gold Coast QLD 4217",bundall@backinmotion.com.au,07 5592 4141,"Surgical Podiatry, Supramalleolar Orthotics (SMOs), Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare, Custom Footwear, NDIS, Seniors Footcare, Shockwave Therapy, Ankle-Foot Orthoses"
Back In Motion Podiatry Burleigh Waters,"Shop E, 1/6-8 Classic Way, Burleigh Waters QLD 4220",burleighwaters@backinmotion.com.au,07 5613 3115,"Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare, Custom Footwear, NDIS, Seniors Footcare, Shockwave Therapy"
My FootDr Hope Island,"Shop 5, 10 Santa Barbara Road, Hope Island QLD 4212",hopeisland@myfootdr.com.au,07 5656 2400,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Cryotherapy For Plantar Warts"
Physiologic Podiatry Robina,"334 Scottsdale Drive, Robina QLD 4226",robina@physiologic.com.au,07 5578 7155,"Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare, Custom Footwear, NDIS, Seniors Footcare, Shockwave Therapy"
My FootDr Varsity Lakes (formerly Robina),"Shop 1, 190 Varsity Parade, Varsity Lakes QLD 4227",varsitylakes@myfootdr.com.au,07 5562 5055,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Back In Motion Podiatry Mudgeeraba,"Unit 1, 63 Railway Street, Mudgeeraba QLD 4213",mudgeeraba@backinmotion.com.au,07 5619 2180,"Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare, Custom Footwear, NDIS, Seniors Footcare, Shockwave Therapy"
My FootDr Bathurst,"41 Keppel St, Bathurst NSW 2795",bathurst@myfootdr.com.au,02 6331 1122,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Blacktown,"Suite 113/30 Campbell Street, Blacktown NSW 2148",blacktown@myfootdr.com.au,02 9622 5707,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Burwood,"6 Railway Parade, Burwood NSW 2134",burwood@myfootdr.com.au,02 9744 6566,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy"
My FootDr Casula,"6 Holston Street, Casula NSW 2170",casula@myfootdr.com.au,02 9822 2622,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Cessnock,"298 Maitland Rd, Cessnock NSW 2325",cessnock@myfootdr.com.au,02 4990 4540,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Charlestown,"190 Pacific Highway, Charlestown NSW 2290",charlestown@myfootdr.com.au,02 4966 0799,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Dubbo,"Shop 18, Orana Mall Shopping Centre, 56 Windsor Parade, Dubbo NSW 2830",dubbo@myfootdr.com.au,02 6867 9410,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Mittagong,"48 Bowral Road, Mittagong NSW 2575",mittagong@myfootdr.com.au,02 4872 4168,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Moorebank,"2 Stockton Avenue, Moorebank NSW 2170",moorebank@myfootdr.com.au,02 9822 2780,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Narellan,"Suite 407, 326 Camden Valley Way, Narellan NSW 2567",narellan@myfootdr.com.au,02 4647 0703,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Orange,"Shop V5-7, Orange City Centre, 190 Anson St, Orange NSW 2800",orange@myfootdr.com.au,02 5301 6549,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Tweed Heads,"1/107 Minjungbal Drive, Tweed Heads South NSW 2485",tweedheads@myfootdr.com.au,07 5524 8440,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Cairns,"Shop 2, 494 Mulgrave Road, Earlville QLD 4870",cairns@myfootdr.com.au,07 4033 2218,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Paraffin Wax Bath Treatment"
NQ Foot & Ankle Centre Cowboys Centre of Excellence,"North Queensland Cowboys Centre of Excellence, 26 Graham Murray Place, Railway Estate QLD 4810",kirwan@nqfootandankle.com.au,07 4723 5500,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Shockwave Therapy, Sports Podiatry"
NQ Foot & Ankle Centre Kirwan,"NQ Foot & Ankle Centre, 93 Thuringowa Drive, Kirwan QLD 4817",kirwan@nqfootandankle.com.au,07 4723 5500,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Shockwave Therapy, Sports Podiatry"
My FootDr Thuringowa,"Shop 129, Willows Shopping Centre, Cnr Thuringowa Dr & Hervey Range Rd, Thuringowa Central QLD 4817",thuringowa@myfootdr.com.au,07 4723 1503,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Townsville,"140 Ross River Road, Mundingburra QLD 4812",townsville@myfootdr.com.au,07 4725 3755,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts"
Foundation Podiatry,"140 Ross River Road, Mundingburra QLD 4812",foundation@myfootdr.com.au,07 4775 1760,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Shockwave Therapy, Sports Podiatry"
My FootDr Palmerston,"Shop 15, Oasis Shopping Village, 15 Temple Tce, Palmerston NT 0830",palmerston@myfootdr.com.au,08 8932 2233,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Aldinga,"Aldinga Medical Centre, 89 Rowley Road, Aldinga Beach SA 5173",aldinga@myfootdr.com.au,08 7286 3003,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Blackwood,"236 Main Road, Blackwood SA 5051",blackwood@myfootdr.com.au,08 8278 9777,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Christies Beach,"Shop 1, 1 Beach Road, Christies Beach SA 5165",christiesbeach@myfootdr.com.au,08 8186 5700,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Findon,"255 Findon Road, Findon SA 5023",findon@myfootdr.com.au,08 8121 5955,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Glenelg,"10 Gordon Street, Glenelg SA 5045",glenelg@myfootdr.com.au,08 8295 4488,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Modbury,"Shop 73, Westfield Tea Tree Plaza, 976 North East Road, Modbury SA 5092",modbury@myfootdr.com.au,08 8263 5588,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Mt Barker,"4 Morphett Street, Mount Barker SA 5251",mtbarker@myfootdr.com.au,08 8391 1100,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Norwood,"Shop 3, 97 The Parade, Norwood SA 5067",norwood@myfootdr.com.au,08 8331 0400,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Salisbury,"Shop 69A, 32 John Street, Salisbury SA 5108",salisbury@myfootdr.com.au,08 8250 8855,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Allsports Podiatry Noosa,"Noosa Civic, 28 Eenie Creek Road, Noosaville QLD 4566",noosa@allsportspodiatry.com.au,07 5474 5588,"General Podiatry Care, Ingrown Toenail Treatment, Custom Foot Orthotics, Video Gait Analysis, Diabetic Footcare, Seniors Footcare, Paediatric Assessments"
My FootDr Beerwah,"Shop 7, 5 Peachester Road, Beerwah QLD 4519",beerwah@myfootdr.com.au,07 5439 0188,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Buderim,"Shop 1, 72 Burnett Street, Buderim QLD 4556",buderim@myfootdr.com.au,07 5445 7888,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Caloundra,"Shop 2A, Stockland Shopping Centre, 80 Bowman Road, Caloundra QLD 4551",caloundra@myfootdr.com.au,07 5438 7200,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Kawana,"Shop 156, Kawana Shoppingworld, Nicklin Way, Buddina QLD 4575",kawana@myfootdr.com.au,07 5444 4330,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Maroochydore,"Sunshine Plaza, Horton Parade, Maroochydore QLD 4558",maroochydore@myfootdr.com.au,07 5443 9400,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Mooloolaba,"Shop 1B, 22 Brisbane Road, Mooloolaba QLD 4557",mooloolaba@myfootdr.com.au,07 5478 2822,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Nambour,"Shop 18, Nambour Mill Village, 28 Mill Street, Nambour QLD 4560",nambour@myfootdr.com.au,07 5441 4822,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Devonport,"100 Best Street, Devonport TAS 7310",devonport@myfootdr.com.au,03 6424 9988,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, NDIS, CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Cryotherapy For Plantar Warts"
Ispahan Podiatry,"18 Waterloo Crescent, South Hobart TAS 7004",ispahan@myfootdr.com.au,03 6224 3836,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
Back In Motion Podiatry Bacchus Marsh,"133 Main Street, Bacchus Marsh VIC 3340",bacchusmarsh@backinmotion.com.au,03 5367 0435,"Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare, Custom Footwear, NDIS, Seniors Footcare, Shockwave Therapy"
Back In Motion Podiatry Bayswater,"Shop 3, 3 Stud Road, Bayswater VIC 3153",bayswater@backinmotion.com.au,03 9729 9788,"Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare, Custom Footwear, NDIS, Seniors Footcare, Shockwave Therapy"
Back In Motion Podiatry Melton,"Shop T120, Woodgrove Shopping Centre, 533 High Street, Melton VIC 3337",melton@backinmotion.com.au,03 9743 0033,"Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare, Custom Footwear, NDIS, Seniors Footcare, Shockwave Therapy"
My FootDr Ballarat,"420 Sturt Street, Ballarat Central VIC 3350",ballarat@myfootdr.com.au,03 5333 4422,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Shockwave Therapy"
Border Podiatry Wodonga,"140 High Street, Wodonga VIC 3690",wodonga@borderpodiatry.com.au,02 6056 8033,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Boronia,"Shop 1004, Boronia Mall, 50 Dorset Square, Boronia VIC 3155",boronia@myfootdr.com.au,03 9762 1700,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Bracenfix™ Ingrown Toenail Treatment"
My FootDr Cranbourne,"Shop 2073, Cranbourne Park Shopping Centre, South Gippsland Highway, Cranbourne VIC 3977",cranbourne@myfootdr.com.au,03 5995 1133,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Pakenham,"Shop 6, 3-7 Henry Street, Pakenham VIC 3810",pakenham@myfootdr.com.au,03 5941 3100,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
The Foot and Ankle Clinic Moe,"8 Lloyd Street, Moe VIC 3825",moe@thefootandankleclinic.com.au,03 5127 1323,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Fungal Nail Infection Laser Treatment, Shockwave Therapy"
The Foot and Ankle Clinic Podiatry Chadstone,"Shop P12, Chadstone Shopping Centre, 1341 Dandenong Road, Chadstone VIC 3148",chadstone@thefootandankleclinic.com.au,03 9568 5888,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Fungal Nail Infection Laser Treatment, Shockwave Therapy"
The Foot and Ankle Clinic Podiatry East Bentleigh,"777 Centre Road, East Bentleigh VIC 3165",eastbentleigh@thefootandankleclinic.com.au,03 9579 1555,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Fungal Nail Infection Laser Treatment, Shockwave Therapy"
The Foot and Ankle Clinic Sale,"Shop 12, Gippsland Centre, Cunningham Street, Sale VIC 3850",sale@thefootandankleclinic.com.au,03 5144 6122,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, Fungal Nail Infection Laser Treatment, Shockwave Therapy"
