Name of Clinic,Address,Email,Phone,Services
Allsports Podiatry Wavell Heights,"1A/159 Hamilton Road, Wavell Heights QLD 4012",wavellheights@allsportspodiatry.com.au,07 3256 9676,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Resources"
Anytime Physio & Podiatry Newstead,"Shop B6 / 76 Skyring Terrace, Gasworks Plaza, Newstead QLD 4006",newstead@anytimephysio.com.au,07 3733 0944,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare"
My FootDr Brisbane CBD,"Ground Level, 324 Queen Street, Brisbane QLD 4000",brisbanecbd@myfootdr.com.au,07 3634 5800,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Cryotherapy For Plantar Warts, Resources, Footwear"
My FootDr Brookside,"Brookside Shopping Centre, Shop 118, 159 Osborne Rd, Mitchelton QLD 4053",brookside@myfootdr.com.au,07 3355 1256,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Footwear, Resources"
My FootDr Brookwater,"17 / L1 Brookwater Retail Village, 2 Tournament Drive, Brookwater QLD 4300",brookwater@myfootdr.com.au,07 3432 8500,"Supramalleolar Orthotics (SMOs), Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Resources"
My FootDr Camp Hill,"50 Wyena Street (Cnr Clara & Wyena St), Camp Hill QLD 4152",camphill@myfootdr.com.au,07 3035 3900,"Supramalleolar Orthotics (SMOs), Fungal Nail Diafactory Testing, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Custom Cricket Shoes, Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Cobra9 Cycling Orthotics, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, SWIFT Microwave Wart Therapy, Resources, Ankle-Foot Orthoses"
My FootDr Cleveland,"Suite 5 & 6, Trinity Chambers, Cnr Waterloo & Middle Streets, Cleveland QLD 4163",cleveland@myfootdr.com.au,07 3479 9200,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Cryotherapy For Plantar Warts, Resources, Paraffin Wax Bath Treatment"
My FootDr Fortitude Valley,"2/455A Brunswick Street, Fortitude Valley QLD 4006",fortitudevalley@myfootdr.com.au,07 3640 6100,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources, Footwear"
My FootDr Gumdale,"Eastside Village Shopping Centre, Shop 20, Cnr New Cleveland & Tilley Roads, Gumdale QLD 4154",gumdale@myfootdr.com.au,07 3917 2700,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources"
My FootDr Indooroopilly,"56B Coonan Street, Indooroopilly QLD 4068",indooroopilly@myfootdr.com.au,07 3720 6200,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Resources"
My FootDr Ipswich,"Physioactive, 57 Thorn Street, Ipswich QLD 4305",ipswich@myfootdr.com.au,07 3281 8876,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Resources"
My FootDr Jindalee,"Allsports Physiotherapy, Shop 28, 34 Goggs Road, Jindalee QLD 4074",jindalee@myfootdr.com.au,07 3279 3752,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Resources"
My FootDr Mt Gravatt,"Level 2 / 1437 Logan Road (enter off Gowrie St), Mount Gravatt QLD 4122",mtgravatt@myfootdr.com.au,07 3849 4714,"Supramalleolar Orthotics (SMOs), Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Resources, Ankle-Foot Orthoses"
My FootDr North Lakes,"North Lakes Specialist Medical Centre, Unit 204, 6 North Lakes Drive, North Lakes QLD 4509",northlakes@myfootdr.com.au,07 3815 6490,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Resources"
My FootDr Red Hill,"Arthur House, 47 Arthur Tce, Red Hill QLD 4059",redhill@myfootdr.com.au,(07) 3367 0085,"Custom Foot Orthotics, Ankle-Foot Orthoses, Custom Footwear, National Disability Insurance Scheme (NDIS)"
My FootDr Redcliffe,"Dolphins Central Shopping Centre, 10/110 Ashmole Rd, Redcliffe QLD 4020",redcliffe@myfootdr.com.au,07 3385 8100,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources"
My FootDr Shailer Park,"6/44 Bryants Road, Shailer Park QLD 4128",shailerpark@myfootdr.com.au,07 3441 2100,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Footwear, Cryotherapy For Plantar Warts, Resources"
My FootDr Stafford,"Shop 93A Stafford City Shopping Centre, 400 Stafford Rd, Stafford QLD 4053",stafford@myfootdr.com.au,07 3513 4000,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources"
My FootDr Toowoomba,"Shop 52, Clifford Gardens Shopping Centre, Corner James St & Anzac Ave, Toowoomba City QLD 4350",toowoomba@myfootdr.com.au,07 4633 2533,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Resources"
My FootDr Wellington Point,"8/405-409 Main Rd, Wellington Point QLD 4160",wellingtonpoint@myfootdr.com.au,07 3207 2100,N/A - Page not archived
Advanced Foot Care Bargara,"8/699 Bargara Road, Bargara QLD 4670",bargara@advancedfootcare.com.au,07 4153 3255,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), Resources"
Advanced Foot Care Bundaberg,"10/36 Quay St, Bundaberg Central QLD 4670",bundaberg@advancedfootcare.com.au,07 4153 3255,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Footwear, Resources"
Advanced Foot Care Hervey Bay,"1/6 Torquay Rd, Pialba QLD 4655",herveybay@advancedfootcare.com.au,07 4128 2300,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Footwear, Resources"
Advanced Foot Care Monto,"35 Flinders Street, Monto QLD 4630",monto@advancedfootcare.com.au,07 4128 2300,
My FootDr Gladstone,"1/146 Auckland St, Gladstone Central QLD 4680",gladstone@myfootdr.com.au,07 4972 9663,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cryotherapy For Plantar Warts, Resources"
My FootDr Mackay,"153 Victoria St, Mackay QLD 4740",mackay@myfootdr.com.au,07 4951 0111,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources"
My FootDr Rockhampton,"8/235-239 Musgrave St, North Rockhampton QLD 4701",rockhampton@myfootdr.com.au,07 4921 3532,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Cryotherapy For Plantar Warts, Resources"
My FootDr Yeppoon,"61 Queen St, Yeppoon QLD 4703",yeppoon@myfootdr.com.au,07 4939 8577,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Cryotherapy For Plantar Warts, Resources"
Allsports Podiatry Pimpama,"2 Nexus Drive, Tenancy D1.4, Pimpama QLD 4209",pimpama@allsportspodiatry.com.au,(07) 3879 7718,None Listed
Back In Motion Podiatry Bundall,"1 Allawah St (cnr Bundall Rd), Bundall, Gold Coast QLD 4217",bundall@backinmotion.com.au,07 5592 4141,"Surgical Podiatry, Supramalleolar Orthotics (SMOs), Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), Seniors Footcare, Shockwave Therapy, Ankle-Foot Orthoses"
Back In Motion Podiatry Burleigh Waters,"Shop E, 1/6-8 Classic Way, Burleigh Waters QLD 4220",burleighwaters@backinmotion.com.au,07 5613 3115,"Surgical Podiatry, Supramalleolar Orthotics (SMOs), Clinical Podiatry, Custom Foot Orthotics, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), Seniors Footcare, Shockwave Therapy, Ankle-Foot Orthoses"
My FootDr Hope Island,"Shop 5, 10 Santa Barbara Road, Hope Island QLD 4212",hopeisland@myfootdr.com.au,07 5656 2400,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Cryotherapy For Plantar Warts, Resources"
Physiologic Podiatry Robina,"334 Scottsdale Drive, Robina QLD 4226",robina@physiologic.com.au,07 5578 7155,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Resources"
My FootDr Varsity Lakes (formerly Robina),"Shop 1, 190 Varsity Parade, Varsity Lakes QLD 4227",varsitylakes@myfootdr.com.au,07 5562 5055,"Surgical Podiatry, Clinical Podiatry, Custom Foot Orthotics, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Seniors Footcare, Shockwave Therapy"
Allsports Podiatry Parkwood,"Shop 13/122 Napper Rd, Parkwood QLD 4214",parkwood@allsportspodiatry.com.au,07 5561 1810,None Listed
My FootDr Bathurst,"41 Keppel St, Bathurst NSW 2795",bathurst@myfootdr.com.au,02 6331 1122,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Resources"
My FootDr Blacktown,"Suite 113/30 Campbell Street, Blacktown NSW 2148",blacktown@myfootdr.com.au,02 9622 5707,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Resources"
My FootDr Burwood,"6 Railway Parade, Burwood NSW 2134",burwood@myfootdr.com.au,02 9744 6566,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Resources"
My FootDr Casula,"6 Holston Street, Casula NSW 2170",casula@myfootdr.com.au,02 9822 2622,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Resources"
My FootDr Cessnock,"298 Maitland Rd, Cessnock NSW 2325",cessnock@myfootdr.com.au,02 4990 4540,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS)"
My FootDr Charlestown,"190 Pacific Highway, Charlestown NSW 2290",charlestown@myfootdr.com.au,02 4966 0799,"Bracenfix™ - Ingrown Toenail Treatment, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), Shockwave Therapy, Footwear"
My FootDr Dubbo,"Shop 18, Orana Mall Shopping Centre, 56 Windsor Parade, Dubbo NSW 2830",dubbo@myfootdr.com.au,02 6867 9410,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Resources"
My FootDr Mittagong,"48 Bowral Road, Mittagong NSW 2575",mittagong@myfootdr.com.au,02 4872 4168,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Cryotherapy For Plantar Warts, Resources"
My FootDr Moorebank,"2 Stockton Avenue, Moorebank NSW 2170",moorebank@myfootdr.com.au,02 9822 2780,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Resources"
My FootDr Narellan,"Suite 407, 326 Camden Valley Way, Narellan NSW 2567",narellan@myfootdr.com.au,02 4647 0703,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Resources"
My FootDr Orange,"Shop V5-7, Orange City Centre, 190 Anson St, Orange NSW 2800",orange@myfootdr.com.au,02 5301 6549,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Footwear, Cryotherapy For Plantar Warts, Resources"
My FootDr Tweed Heads,"1/107 Minjungbal Drive, Tweed Heads South NSW 2485",tweedheads@myfootdr.com.au,07 5524 8440,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Resources, Ankle-Foot Orthoses"
My FootDr Cairns,"Shop 2, 494 Mulgrave Road, Earlville QLD 4870",cairns@myfootdr.com.au,07 4033 2218,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Resources"
NQ Foot & Ankle Centre Cowboys Centre of Excellence,"North Queensland Cowboys Centre of Excellence, 26 Graham Murray Place, Railway Estate QLD 4810",kirwan@nqfootandankle.com.au,07 4723 5500,"Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Shockwave Therapy"
NQ Foot & Ankle Centre Kirwan,"NQ Foot & Ankle Centre, 93 Thuringowa Drive, Kirwan QLD 4817",kirwan@nqfootandankle.com.au,07 4723 5500,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Resources"
My FootDr Thuringowa,"Shop 129, Willows Shopping Centre, Cnr Thuringowa Dr & Hervey Range Rd, Thuringowa Central QLD 4817",thuringowa@myfootdr.com.au,07 4723 1503,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Cryotherapy For Plantar Warts, Resources"
My FootDr Townsville,"140 Ross River Road, Mundingburra QLD 4812",townsville@myfootdr.com.au,07 4725 3755,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources"
My FootDr Palmerston,"Shop 15, Oasis Shopping Village, 15 Temple Tce, Palmerston NT 0830",palmerston@myfootdr.com.au,08 8932 2233,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Footwear, Cryotherapy For Plantar Warts, Resources"
My FootDr Aldinga,"Aldinga Medical Centre, 89 Rowley Road, Aldinga Beach SA 5173",aldinga@myfootdr.com.au,08 7286 3003,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Resources"
My FootDr Blackwood,"236 Main Road, Blackwood SA 5051",blackwood@myfootdr.com.au,08 8278 9777,"Supramalleolar Orthotics (SMOs), Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Footwear, Resources, Ankle-Foot Orthoses"
My FootDr Christies Beach,"Shop 1, 1 Beach Road, Christies Beach SA 5165",christiesbeach@myfootdr.com.au,08 8186 5700,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Resources"
My FootDr Modbury,"Shop 73, Westfield Tea Tree Plaza, 976 North East Road, Modbury SA 5092",modbury@myfootdr.com.au,08 8263 5588,"Bracenfix™ - Ingrown Toenail Treatment, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Resources, Richie Brace"
My FootDr Hove,"372 Brighton Rd, Hove SA 5048",hove@myfootdr.com.au,08 8358 2211,"Supramalleolar Orthotics (SMOs), Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Resources, Ankle-Foot Orthoses"
My FootDr Woodville,"Shop 1, 924 Port Road, Woodville West SA 5011",woodville@myfootdr.com.au,(08) 8243 1095,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS)"
My FootDr Stirling,"Shop 10 Stirling Tiers, 55 Mt Barker Road, Stirling SA 5152",stirling@myfootdr.com.au,08 8339 7551,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), Resources, Ankle-Foot Orthoses"
My FootDr Unley,"98 Unley Rd, Unley SA 5061",unley@myfootdr.com.au,08 8357 0747,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Resources"
Semaphore (formerly Queenstown),"160 Semaphore Road, Semaphore SA 5019",semaphore@myfootdr.com.au,08 8234 8666,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Shockwave Therapy"
Allsports Podiatry Noosa,"Noosa Civic, 28 Eenie Creek Road, Noosaville QLD 4566",noosa@allsportspodiatry.com.au,07 5474 5588,"General podiatry care, Ingrown toenail treatment, Custom foot orthotics, Video gait analysis, Diabetic footcare, Seniors footcare, Paediatric assessments"
My FootDr Beerwah,"Shop 7, 5 Peachester Road, Beerwah QLD 4519",beerwah@myfootdr.com.au,07 5439 0188,"Surgical Podiatry, Supramalleolar Orthotics (SMOs), Clinical Podiatry, Health Funds, Custom Foot Orthotics, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), Seniors Footcare, Resources, Video Gait Analysis, Custom Footwear"
My FootDr Devonport,"100 Best Street, Devonport TAS 7310",devonport@myfootdr.com.au,03 6424 9988,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Cryotherapy For Plantar Warts, Resources, Footwear"
Ispahan Podiatry,"18 Waterloo Crescent, South Hobart TAS 7004",ispahan@myfootdr.com.au,03 6224 3836,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cryotherapy For Plantar Warts, Resources"
Back In Motion Podiatry Bacchus Marsh,"133 Main Street, Bacchus Marsh VIC 3340",bacchusmarsh@backinmotion.com.au,03 5367 0435,"Bracenfix™ - Ingrown Toenail Treatment, SWIFT Microwave Wart Therapy"
Back In Motion Podiatry Bayswater,"Shop 3, 3 Stud Road, Bayswater VIC 3153",bayswater@backinmotion.com.au,03 9729 9788,"Bracenfix™ - Ingrown Toenail Treatment, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), Seniors Footcare, Cosmetic Nail Restoration, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts"
Back In Motion Podiatry Melton,"Shop T120, Woodgrove Shopping Centre, 533 High Street, Melton VIC 3337",melton@backinmotion.com.au,03 9743 0033,"Bracenfix™ - Ingrown Toenail Treatment, SWIFT Microwave Wart Therapy"
